SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521
ENSG00000179862,29,117,43,41,24,78,30,72
ENSG00000179869,19,10,55,22,79,115,39,31
ENSG00000179873,0,0,1,0,0,0,0,0
ENSG00000179886,101,106,83,37,103,98,69,85
ENSG00000179889,1544,1339,1462,836,2001,1967,1386,1229
ENSG00000179899,1069,749,1052,510,1152,972,777,674
ENSG00000179902,0,1,1,0,2,1,1,1
ENSG00000179909,228,120,282,99,419,344,249,162
ENSG00000179912,505,450,668,410,859,707,452,541
ENSG00000179913,0,0,0,0,0,0,0,0
ENSG00000179914,0,0,0,0,0,0,0,0
ENSG00000179915,0,0,0,0,0,0,0,0
ENSG00000179918,884,835,980,610,992,1213,840,812
ENSG00000179919,0,0,0,0,0,0,0,0
ENSG00000179921,5,5,4,5,4,9,3,1
ENSG00000179922,83,68,138,48,93,83,76,62
ENSG00000179930,0,0,0,0,0,0,0,0
ENSG00000179933,973,951,1161,710,1274,1456,935,923
ENSG00000179934,0,0,0,0,0,0,0,0
ENSG00000179935,14,10,9,4,5,5,13,6
ENSG00000179938,34,27,68,29,27,38,30,35
ENSG00000179941,590,557,746,518,604,945,554,773
ENSG00000179943,194,162,183,106,208,221,154,142
ENSG00000179950,1183,1097,1256,662,1274,1868,949,960
ENSG00000179954,870,445,1733,686,1757,1350,2409,2010
ENSG00000179958,119,115,90,68,121,163,94,89
ENSG00000179965,115,128,103,52,101,129,109,104
ENSG00000179967,295,274,268,96,237,304,205,173
ENSG00000179978,251,166,312,159,351,260,141,98
ENSG00000179979,361,390,162,107,176,193,161,106
ENSG00000179981,742,491,1027,311,525,438,964,571
ENSG00000179988,53,56,92,39,85,92,51,40
ENSG00000179994,2,5,14,4,8,10,10,10
ENSG00000179997,0,0,0,1,0,0,0,0
ENSG00000180008,662,637,640,475,667,912,555,609
ENSG00000180011,756,619,819,404,705,717,728,624
ENSG00000180015,82,80,81,54,98,151,71,88
ENSG00000180016,0,0,1,0,0,0,0,0
ENSG00000180019,1,0,0,0,0,0,0,0
ENSG00000180035,131,108,105,75,143,144,105,104
ENSG00000180042,0,0,0,0,0,0,0,0
ENSG00000180043,0,0,0,0,0,0,0,0
ENSG00000180044,1,0,1,0,0,0,0,2
ENSG00000180053,0,0,0,0,0,1,0,1
ENSG00000180061,0,0,0,0,0,0,0,0
ENSG00000180066,0,0,0,0,0,0,0,0
ENSG00000180068,0,0,0,0,0,0,0,0
ENSG00000180071,1,0,0,0,2,1,0,2
ENSG00000180081,0,0,0,0,0,0,0,0
ENSG00000180083,0,0,0,0,1,0,0,0
ENSG00000180089,5,2,10,4,12,13,10,9
ENSG00000180090,0,0,0,0,2,1,1,0
ENSG00000180096,3,0,1,0,4,3,2,0
ENSG00000180098,238,257,342,253,383,473,256,297
ENSG00000180104,1143,958,1213,653,1358,1653,1013,973
ENSG00000180105,2,1,1,1,3,3,3,5
ENSG00000180113,42,73,71,79,17,12,35,46
ENSG00000180116,0,0,0,0,0,0,0,0
ENSG00000180138,2,2,1,1,1,2,1,0
ENSG00000180139,14,21,11,30,15,72,9,12
ENSG00000180150,0,0,0,0,0,0,0,0
ENSG00000180152,0,0,0,0,1,0,0,0
ENSG00000180155,1861,1079,1818,764,811,763,1170,872
ENSG00000180172,3,5,2,2,2,7,2,0
ENSG00000180176,0,0,0,0,1,0,0,0
ENSG00000180178,0,0,0,0,1,0,0,0
ENSG00000180182,844,808,898,672,1008,1396,715,943
ENSG00000180185,432,341,479,276,480,559,342,295
ENSG00000180189,2,1,5,2,2,2,4,1
ENSG00000180190,187,166,133,79,137,156,85,111
ENSG00000180198,465,466,430,275,605,809,322,491
ENSG00000180205,0,0,0,0,0,0,0,0
ENSG00000180209,0,0,1,2,3,2,0,1
ENSG00000180210,1,0,0,0,1,0,0,0
ENSG00000180211,25,19,17,12,10,15,11,17
ENSG00000180219,0,0,0,0,0,1,0,0
ENSG00000180221,0,0,1,0,0,0,0,0
ENSG00000180228,550,511,606,368,655,764,407,438
ENSG00000180229,1162,1016,1400,526,1190,1574,957,1057
ENSG00000180230,0,0,0,0,0,0,0,0
ENSG00000180233,93,82,152,118,162,208,98,133
ENSG00000180245,2,0,2,1,3,0,1,0
ENSG00000180251,0,0,0,0,1,3,0,0
ENSG00000180257,92,59,119,46,99,111,77,112
ENSG00000180259,0,0,0,0,0,0,0,0
ENSG00000180263,178,105,331,212,315,321,210,295
ENSG00000180264,0,0,0,0,0,0,0,0
ENSG00000180269,0,0,0,0,0,0,0,0
ENSG00000180279,1,3,6,0,2,0,2,2
ENSG00000180284,0,0,0,0,0,1,1,0
ENSG00000180287,2,9,2,4,8,22,31,151
ENSG00000180304,2256,1734,2497,1228,2483,2547,1815,1476
ENSG00000180305,0,0,0,0,0,0,0,0
ENSG00000180316,1,2,2,1,1,5,1,6
ENSG00000180318,0,0,0,0,0,0,0,0
ENSG00000180329,149,135,232,131,212,223,146,142
ENSG00000180332,1,2,1,0,0,1,1,1
ENSG00000180336,11,12,27,5,13,12,14,9
ENSG00000180340,1100,1016,1354,885,1295,1478,1087,1422
ENSG00000180344,0,0,0,0,0,0,0,0
ENSG00000180346,66,77,130,70,157,219,86,87
ENSG00000180347,1,0,0,1,1,1,0,0
ENSG00000180353,5,4,1,1,2,2,3,5
ENSG00000180354,1012,1148,1154,1044,1453,1811,1079,1752
ENSG00000180357,1175,909,1371,801,1633,1858,1061,1334
ENSG00000180370,1738,1521,1904,1291,1997,2620,1751,1784
ENSG00000180376,218,196,301,188,362,357,250,242
ENSG00000180383,0,0,0,0,0,0,1,0
ENSG00000180385,15,20,32,8,28,34,18,12
ENSG00000180386,0,0,0,0,0,0,0,0
ENSG00000180389,7,5,4,2,5,3,3,2
ENSG00000180398,5167,4357,6281,3604,7446,9053,4628,5332
ENSG00000180409,0,0,0,0,0,0,0,0
ENSG00000180422,18,24,8,8,9,20,9,22
ENSG00000180423,50,54,69,35,68,90,47,45
ENSG00000180424,0,0,0,0,0,0,0,0
ENSG00000180425,1,0,5,0,2,4,0,1
ENSG00000180432,0,0,1,4,0,1,1,7
ENSG00000180433,0,0,0,0,0,0,0,0
ENSG00000180437,0,0,0,0,0,0,0,0
ENSG00000180438,0,0,0,0,0,0,0,0
ENSG00000180440,0,0,0,0,0,0,0,0
ENSG00000180447,1156,1422,2220,1139,1409,2677,1414,1388
ENSG00000180448,271,288,417,236,301,355,205,209
ENSG00000180458,2,2,5,0,5,3,1,2
ENSG00000180475,0,0,2,1,0,4,0,0
ENSG00000180479,67,31,68,32,80,74,59,48
ENSG00000180481,7,5,25,9,20,16,19,12
ENSG00000180483,0,0,0,0,0,0,0,0
ENSG00000180488,361,383,494,427,463,757,370,545
ENSG00000180509,7,17,38,24,19,40,21,25
ENSG00000180525,8,9,19,16,7,66,5,10
ENSG00000180530,1064,803,1071,605,1398,1631,983,997
ENSG00000180532,0,1,1,0,0,1,0,0
ENSG00000180535,0,0,0,1,0,1,0,0
ENSG00000180537,94,118,48,48,182,255,142,185
ENSG00000180539,0,0,2,0,1,1,1,0
ENSG00000180543,675,546,661,346,605,714,496,487
ENSG00000180549,0,0,0,0,0,0,0,0
ENSG00000180573,575,505,1115,471,1102,937,852,747
ENSG00000180574,264,201,267,117,311,289,235,223
ENSG00000180581,812,629,906,468,1007,1062,667,607
ENSG00000180592,43,34,34,19,24,23,22,27
ENSG00000180596,19,23,60,16,61,57,50,39
ENSG00000180610,1,1,2,1,2,4,3,1
ENSG00000180611,80,111,116,73,110,202,87,143
ENSG00000180613,0,0,2,7,0,0,0,0
ENSG00000180616,0,0,1,2,3,0,0,1
ENSG00000180626,139,86,201,93,241,258,175,141
ENSG00000180628,804,829,831,842,964,1332,863,1125
ENSG00000180636,0,0,0,0,0,0,0,0
ENSG00000180638,2,2,3,1,0,0,2,2
ENSG00000180644,0,1,0,0,2,0,0,0
ENSG00000180658,12,5,41,19,6,9,25,29
ENSG00000180660,65,74,112,67,70,78,62,67
ENSG00000180662,0,0,0,0,0,1,0,0
ENSG00000180663,0,0,0,0,0,0,0,0
ENSG00000180667,224,199,237,192,186,350,157,247
ENSG00000180672,118,134,78,177,75,172,58,209
ENSG00000180673,22,29,23,12,32,36,24,18
ENSG00000180694,723,1296,565,638,866,1055,541,850
ENSG00000180697,0,0,0,0,0,0,0,1
ENSG00000180708,0,0,0,0,0,0,0,0
ENSG00000180712,3,1,1,0,2,1,0,2
ENSG00000180714,0,0,0,0,0,0,0,0
ENSG00000180720,0,0,2,1,2,2,0,0
ENSG00000180723,0,0,0,0,0,0,0,0
ENSG00000180725,0,0,0,0,0,0,0,0
ENSG00000180730,0,2,0,0,0,0,0,0
ENSG00000180739,0,0,1,0,3,3,1,1
ENSG00000180745,0,0,1,0,0,0,2,1
ENSG00000180747,411,369,488,263,520,765,458,423
ENSG00000180758,79,70,85,48,83,106,93,87
ENSG00000180764,63,70,49,40,55,106,46,53
ENSG00000180767,0,0,0,0,0,0,0,0
ENSG00000180769,261,153,275,143,186,179,280,256
ENSG00000180770,0,1,0,1,0,0,1,0
ENSG00000180771,114,136,137,127,137,245,155,155
ENSG00000180772,0,0,0,0,0,0,0,0
ENSG00000180773,416,430,449,360,522,725,335,438
ENSG00000180776,543,322,615,291,711,790,528,470
ENSG00000180777,4,2,24,6,5,5,1,2
ENSG00000180785,0,0,0,0,0,0,0,0
ENSG00000180787,113,90,143,105,113,123,112,105
ENSG00000180801,934,1246,1824,1076,1930,3202,1148,1251
ENSG00000180803,0,0,0,0,0,0,0,0
ENSG00000180806,0,2,4,9,16,17,11,10
ENSG00000180815,3,1,2,0,4,1,0,0
ENSG00000180817,1761,1325,1745,837,2122,1900,1309,980
ENSG00000180818,0,0,0,0,0,0,1,0
ENSG00000180822,144,131,171,99,136,220,120,122
ENSG00000180828,0,1,0,0,0,0,0,0
ENSG00000180834,41,24,30,16,17,33,21,15
ENSG00000180846,0,2,3,0,1,2,1,0
ENSG00000180855,35,27,55,28,48,40,35,30
ENSG00000180861,0,1,1,0,0,0,0,0
ENSG00000180867,1668,1196,1657,890,1543,2067,1167,1085
ENSG00000180869,0,0,0,0,0,0,1,0
ENSG00000180871,2,1,0,0,0,0,1,0
ENSG00000180872,0,0,0,0,0,0,0,0
ENSG00000180875,280,135,700,287,278,368,659,346
ENSG00000180878,3,4,4,0,3,4,4,1
ENSG00000180879,1719,1595,1821,1026,1885,2189,1379,1353
ENSG00000180881,116,66,160,62,141,80,102,80
ENSG00000180884,49,46,51,27,58,48,54,35
ENSG00000180891,955,1290,942,782,1071,1706,823,1284
ENSG00000180900,1087,898,1073,499,1264,1661,821,804
ENSG00000180901,999,867,1145,685,1189,1438,849,1122
ENSG00000180902,369,333,371,176,351,449,341,288
ENSG00000180909,0,0,0,0,1,0,0,0
ENSG00000180910,0,0,0,0,0,0,0,0
ENSG00000180913,0,0,0,0,0,0,0,0
ENSG00000180914,61,129,708,1486,231,1424,65,230
ENSG00000180917,619,502,608,369,639,758,546,463
ENSG00000180919,0,0,0,0,1,0,0,0
ENSG00000180921,145,182,224,108,250,346,119,174
ENSG00000180926,0,0,0,0,0,0,0,0
ENSG00000180929,1,1,2,0,0,1,1,1
ENSG00000180934,0,0,0,0,0,0,0,0
ENSG00000180938,45,26,61,15,45,41,53,27
ENSG00000180953,28,28,36,21,37,44,32,16
ENSG00000180957,1015,1183,1131,841,1270,1700,867,1144
ENSG00000180964,1144,900,1208,651,1137,1261,915,939
ENSG00000180974,0,0,0,0,0,0,0,0
ENSG00000180979,194,152,278,199,286,311,198,268
ENSG00000180987,1,2,1,0,2,3,1,0
ENSG00000180988,0,0,0,0,0,0,0,2
ENSG00000180992,440,312,376,184,508,387,356,241
ENSG00000180998,26,15,41,17,36,26,50,40
ENSG00000180999,0,0,1,0,0,0,0,1
ENSG00000181001,0,0,0,0,0,0,0,0
ENSG00000181004,135,154,137,154,146,211,156,188
ENSG00000181007,133,98,179,89,147,189,140,106
ENSG00000181009,0,0,0,0,0,0,0,0
ENSG00000181013,0,0,0,0,0,1,0,0
ENSG00000181016,14,12,22,11,18,21,19,13
ENSG00000181017,0,0,2,0,0,0,0,0
ENSG00000181019,3217,1929,3558,1207,5524,3704,2262,1360
ENSG00000181023,0,0,0,0,0,0,0,0
ENSG00000181026,813,712,739,318,889,1154,670,524
ENSG00000181027,423,552,519,424,498,891,364,680
ENSG00000181029,3,5,2,0,1,0,1,2
ENSG00000181031,18,18,15,7,11,24,15,20
ENSG00000181035,223,216,333,150,256,240,229,244
ENSG00000181036,0,3,1,1,2,6,0,0
ENSG00000181038,157,145,130,96,144,201,101,129
ENSG00000181039,55,74,79,41,75,96,60,49
ENSG00000181045,364,256,385,174,400,354,336,272
ENSG00000181061,1396,3541,1796,2307,1780,3880,1330,3171
ENSG00000181072,4316,2501,3228,992,3660,3307,4260,2221
ENSG00000181074,2,2,4,1,2,0,1,2
ENSG00000181085,1,0,2,1,2,5,6,2
ENSG00000181090,951,799,1004,477,1160,1191,786,775
ENSG00000181092,0,0,0,0,0,0,0,0
ENSG00000181097,11,5,12,8,16,24,11,24
ENSG00000181101,0,0,0,0,1,1,0,1
ENSG00000181104,7007,5464,6946,4417,9071,15647,5231,6792
ENSG00000181109,3,0,2,1,0,0,0,0
ENSG00000181123,0,0,0,0,0,0,0,0
ENSG00000181126,0,1,0,0,0,5,0,4
ENSG00000181135,219,225,266,146,217,267,218,231
ENSG00000181143,0,0,0,0,0,1,0,0
ENSG00000181163,9534,8478,13413,6985,13247,13597,9753,8920
ENSG00000181171,0,0,0,0,0,0,1,0
ENSG00000181191,504,377,512,260,504,584,382,327
ENSG00000181192,424,623,474,443,523,927,437,857
ENSG00000181195,110,89,194,143,261,243,130,194
ENSG00000181201,1,0,0,0,1,0,0,0
ENSG00000181211,0,0,0,0,0,0,0,0
ENSG00000181214,0,0,0,0,0,0,0,0
ENSG00000181215,0,0,0,0,0,0,0,0
ENSG00000181218,81,64,74,29,63,38,87,61
ENSG00000181220,427,448,505,288,530,672,343,431
ENSG00000181222,5671,6207,8500,4840,8103,9430,5706,6374
ENSG00000181227,36,32,25,22,38,40,22,19
ENSG00000181234,0,0,0,0,0,0,0,0
ENSG00000181240,5,0,1,1,1,4,6,1
ENSG00000181260,1,1,1,1,2,0,0,0
ENSG00000181264,419,409,473,316,359,445,372,355
ENSG00000181273,0,0,0,0,0,0,0,0
ENSG00000181274,74,68,56,45,67,83,46,54
ENSG00000181282,0,0,0,0,0,0,0,0
ENSG00000181284,28,14,32,21,20,49,22,20
ENSG00000181291,1,1,0,0,1,0,0,0
ENSG00000181296,0,0,0,0,0,0,0,0
ENSG00000181315,367,296,451,244,535,598,385,310
ENSG00000181322,9,13,9,8,7,17,4,11
ENSG00000181323,0,0,0,0,0,0,0,0
ENSG00000181325,0,0,0,0,0,0,0,0
ENSG00000181333,1,0,7,4,4,5,4,3
ENSG00000181350,37,18,64,12,32,26,83,40
ENSG00000181355,0,0,0,0,0,0,0,0
ENSG00000181358,0,0,0,0,0,0,0,0
ENSG00000181359,7,4,12,4,17,17,9,10
ENSG00000181371,0,0,0,0,0,0,0,0
ENSG00000181374,10,5,37,18,49,90,12,7
ENSG00000181378,0,0,0,0,0,0,0,1
ENSG00000181381,450,542,663,475,828,1463,512,803
ENSG00000181392,5,5,7,4,6,9,1,7
ENSG00000181395,0,0,0,0,0,0,0,0
ENSG00000181396,744,586,862,441,949,1118,679,505
ENSG00000181404,832,693,1019,504,941,1027,679,695
ENSG00000181408,0,0,0,0,0,0,0,0
ENSG00000181409,4,3,5,1,2,2,11,2
ENSG00000181418,2,1,0,0,3,1,1,2
ENSG00000181433,0,0,0,0,0,0,0,0
ENSG00000181444,22,8,10,8,15,4,11,8
ENSG00000181449,1,1,1,0,0,0,0,0
ENSG00000181450,120,83,121,84,132,144,122,116
ENSG00000181458,1276,1002,1241,695,939,1768,862,870
ENSG00000181464,0,0,0,0,0,0,0,0
ENSG00000181467,914,344,911,236,1185,529,828,342
ENSG00000181472,598,445,866,306,697,545,764,452
ENSG00000181481,330,386,341,322,388,556,349,480
ENSG00000181495,0,0,0,0,0,0,0,0
ENSG00000181499,0,0,1,0,0,0,0,0
ENSG00000181511,0,0,0,0,0,3,0,0
ENSG00000181513,219,226,351,195,227,286,245,247
ENSG00000181514,0,0,0,0,0,0,0,0
ENSG00000181518,0,0,0,0,0,0,0,0
ENSG00000181523,1411,1092,1799,806,1707,1830,1279,1216
ENSG00000181524,266,290,291,159,292,356,221,205
ENSG00000181541,3,5,5,1,0,1,0,2
ENSG00000181544,15,17,32,12,20,52,11,20
ENSG00000181552,0,0,0,0,0,0,0,0
ENSG00000181555,1579,1344,1893,1052,2111,2296,1445,1478
ENSG00000181562,0,0,0,0,0,0,0,0
ENSG00000181577,0,0,1,0,0,0,0,0
ENSG00000181585,0,0,2,1,8,4,6,0
ENSG00000181588,437,246,335,163,396,327,330,312
ENSG00000181609,0,0,0,0,0,0,0,0
ENSG00000181610,300,298,357,261,394,567,273,330
ENSG00000181616,2,0,1,0,1,2,0,0
ENSG00000181617,0,0,0,0,0,0,0,0
ENSG00000181619,92,99,85,39,110,174,65,87
ENSG00000181625,14,10,5,7,15,8,12,9
ENSG00000181626,0,0,0,1,0,0,0,1
ENSG00000181631,0,0,0,0,0,0,0,0
ENSG00000181634,32,1,56,6,42,17,65,7
ENSG00000181638,215,176,212,116,183,189,191,184
ENSG00000181649,58,83,69,43,96,187,46,63
ENSG00000181652,3,0,4,2,3,5,1,4
ENSG00000181656,0,0,5,0,0,1,2,0
ENSG00000181666,360,273,543,258,567,570,351,328
ENSG00000181689,0,0,0,0,0,0,0,0
ENSG00000181690,367,355,498,348,516,537,475,575
ENSG00000181693,0,0,0,0,0,0,0,0
ENSG00000181698,0,0,0,0,0,0,0,0
ENSG00000181704,900,732,996,680,1044,1461,808,949
ENSG00000181705,0,0,0,0,0,0,0,0
ENSG00000181718,0,0,0,0,0,0,0,0
ENSG00000181722,112,38,98,18,93,132,63,64
ENSG00000181733,0,0,0,0,0,0,0,0
ENSG00000181741,8,13,5,6,5,5,12,10
ENSG00000181744,651,558,752,488,913,1190,792,790
ENSG00000181751,161,186,231,137,179,235,152,255
ENSG00000181752,0,0,0,0,0,0,0,0
ENSG00000181754,279,195,393,222,222,223,398,409
ENSG00000181761,0,0,0,0,0,0,0,0
ENSG00000181767,0,0,0,0,0,0,0,0
ENSG00000181773,4,0,2,2,1,4,7,1
ENSG00000181778,9,7,34,25,16,17,29,51
ENSG00000181780,0,0,0,0,0,0,0,0
ENSG00000181781,1,0,0,1,0,0,0,0
ENSG00000181785,0,0,0,0,0,0,0,0
ENSG00000181786,0,0,0,0,0,0,0,0
ENSG00000181788,372,394,370,270,398,533,315,357
ENSG00000181789,3921,3634,4728,2596,4623,6429,3278,3651
ENSG00000181790,3,0,1,1,1,1,4,0
ENSG00000181791,0,0,0,0,0,0,0,0
ENSG00000181798,4,2,7,0,3,0,9,5
ENSG00000181800,45,44,29,31,38,88,22,69
ENSG00000181803,0,0,0,0,0,0,0,0
ENSG00000181804,798,1108,833,773,901,951,610,1040
ENSG00000181817,382,339,400,181,369,407,329,287
ENSG00000181819,66,79,76,67,83,157,52,91
ENSG00000181826,116,170,101,116,131,258,97,258
ENSG00000181827,962,575,1036,360,1185,1012,822,581
ENSG00000181830,664,800,633,552,599,1351,569,808
ENSG00000181837,0,0,0,0,0,0,0,0
ENSG00000181847,0,0,0,0,0,1,0,0
ENSG00000181852,988,1065,1279,937,1190,2067,975,1449
ENSG00000181856,0,1,0,4,3,3,1,2
ENSG00000181867,0,0,0,0,0,0,0,0
ENSG00000181873,167,138,167,124,162,222,150,123
ENSG00000181885,13,17,34,33,20,20,21,49
ENSG00000181894,259,167,329,179,353,318,231,214
ENSG00000181896,82,72,110,82,108,159,59,76
ENSG00000181903,0,0,0,0,0,0,0,0
ENSG00000181904,1235,1354,1271,943,1422,2086,1004,1189
ENSG00000181908,0,0,0,0,0,0,0,0
ENSG00000181915,374,287,407,241,384,469,321,314
ENSG00000181924,337,325,410,189,469,680,308,298
ENSG00000181927,0,0,0,0,0,0,0,0
ENSG00000181929,1349,1218,1566,917,1477,1760,1135,1201
ENSG00000181935,0,0,0,0,0,0,0,0
ENSG00000181938,46,44,40,22,45,41,28,35
ENSG00000181939,0,0,0,0,0,0,0,0
ENSG00000181943,0,0,0,0,0,0,0,0
ENSG00000181950,0,0,0,0,0,0,0,0
ENSG00000181958,0,0,0,0,0,0,0,0
ENSG00000181961,0,0,0,0,0,0,0,0
ENSG00000181963,0,0,0,0,0,0,0,0
ENSG00000181965,0,0,0,0,0,0,0,0
ENSG00000181977,0,0,0,0,0,0,0,0
ENSG00000181982,523,401,583,290,565,634,459,395
ENSG00000181984,5,1,3,0,4,1,0,0
ENSG00000181991,414,375,457,213,506,698,301,394
ENSG00000181995,0,0,0,0,0,0,0,0
ENSG00000181997,0,0,0,1,0,0,0,0
ENSG00000182000,0,0,1,0,0,0,0,0
ENSG00000182004,560,492,439,320,448,632,402,377
ENSG00000182010,158,43,218,35,178,86,237,35
ENSG00000182013,473,374,180,83,65,90,213,213
ENSG00000182021,0,0,1,0,0,2,0,0
ENSG00000182022,968,1120,1523,987,387,672,1158,1567
ENSG00000182035,0,0,0,0,0,0,0,0
ENSG00000182040,0,0,0,0,1,0,0,0
ENSG00000182048,0,0,0,0,0,0,1,0
ENSG00000182050,0,0,0,1,2,0,0,1
ENSG00000182053,0,3,0,0,0,0,0,0
ENSG00000182054,728,939,824,591,805,1864,577,778
ENSG00000182057,1,1,3,0,5,7,10,3
ENSG00000182070,0,0,0,0,0,0,0,0
ENSG00000182077,0,0,0,0,0,0,0,0
ENSG00000182083,0,0,0,0,0,0,0,0
ENSG00000182087,2416,2566,2648,1465,2614,3574,2022,2524
ENSG00000182093,741,732,831,633,705,956,570,707
ENSG00000182095,3970,3884,4729,2754,4613,6306,3714,4490
ENSG00000182103,1,0,2,5,0,1,0,1
ENSG00000182107,64,91,201,215,160,213,182,455
ENSG00000182108,2,2,2,5,6,3,4,1
ENSG00000182109,29,34,46,20,24,23,31,18
ENSG00000182111,1,0,0,0,0,0,0,1
ENSG00000182117,744,722,821,495,908,1209,623,668
ENSG00000182118,62,76,92,74,102,151,64,88
ENSG00000182132,0,0,0,0,0,0,0,0
ENSG00000182134,38,33,62,31,30,28,39,28
ENSG00000182141,84,96,100,67,109,123,99,82
ENSG00000182149,2221,2026,2413,1494,2496,2805,1988,2040
ENSG00000182150,528,431,720,383,706,845,524,557
ENSG00000182154,403,460,332,252,284,625,351,519
ENSG00000182156,0,0,0,0,0,1,0,0
ENSG00000182158,2555,3359,2786,1893,3410,6509,1827,2880
ENSG00000182162,0,0,0,0,0,0,0,0
ENSG00000182165,246,214,275,134,224,242,179,221
ENSG00000182168,10,9,13,3,13,6,45,31
ENSG00000182170,0,0,0,0,0,0,0,0
ENSG00000182173,78,82,97,57,117,140,116,97
ENSG00000182175,472,658,558,397,443,440,390,670
ENSG00000182177,1,0,0,0,0,1,0,0
ENSG00000182179,1027,680,1196,446,800,756,746,586
ENSG00000182180,762,675,810,524,836,913,614,595
ENSG00000182183,1,0,3,0,4,7,0,1
ENSG00000182185,94,37,68,42,90,53,70,61
ENSG00000182187,0,0,0,0,0,0,0,0
ENSG00000182195,743,531,831,405,929,903,615,538
ENSG00000182196,6,6,3,2,8,4,4,4
ENSG00000182197,6279,3550,8503,2317,7447,5992,6925,3242
ENSG00000182199,1771,1050,1996,636,1790,1410,1591,917
ENSG00000182208,407,386,392,272,355,461,383,406
ENSG00000182217,173,132,222,78,243,172,169,124
ENSG00000182218,278,235,466,214,196,268,377,404
ENSG00000182220,4395,3834,5653,3667,4809,6095,4289,4669
ENSG00000182223,0,0,0,0,0,0,0,0
ENSG00000182224,362,267,426,251,421,467,386,365
ENSG00000182230,0,0,2,9,1,3,0,4
ENSG00000182240,1117,964,607,413,1432,2011,913,917
ENSG00000182242,0,0,0,0,0,1,0,0
ENSG00000182247,663,469,1059,685,836,886,703,666
ENSG00000182253,46,27,144,91,44,81,102,95
ENSG00000182255,0,0,0,0,0,0,2,0
ENSG00000182256,0,0,0,0,0,0,0,0
ENSG00000182257,12,9,26,8,26,17,10,19
ENSG00000182261,6,5,12,3,9,70,4,21
ENSG00000182263,179,127,205,79,303,221,187,131
ENSG00000182264,0,0,0,0,0,1,0,0
ENSG00000182271,0,0,0,0,0,0,0,0
ENSG00000182272,71,34,104,29,58,36,43,32
ENSG00000182287,566,512,622,514,570,996,688,870
ENSG00000182307,998,817,978,685,1115,1388,833,958
ENSG00000182308,3,4,2,1,3,0,2,0
ENSG00000182310,46,28,42,25,65,62,39,19
ENSG00000182315,1,8,0,0,0,0,0,0
ENSG00000182318,136,91,129,76,130,107,110,101
ENSG00000182319,179,130,308,122,111,260,140,140
ENSG00000182324,14,10,11,9,16,28,15,12
ENSG00000182325,163,177,146,82,130,263,103,146
ENSG00000182326,50290,48128,52825,33238,52339,60136,43510,50027
ENSG00000182327,15,6,16,8,13,10,19,9
ENSG00000182329,5,3,11,0,9,5,10,1
ENSG00000182330,0,14,0,0,0,1,0,0
ENSG00000182333,0,0,0,0,1,0,0,0
ENSG00000182334,0,0,0,0,0,0,0,0
ENSG00000182346,0,0,0,0,0,0,0,0
ENSG00000182347,0,2,3,3,1,1,1,3
ENSG00000182348,0,0,0,0,0,0,0,0
ENSG00000182351,0,0,0,0,0,0,0,0
ENSG00000182352,0,0,0,0,0,0,0,1
ENSG00000182359,87,74,94,76,64,91,62,74
ENSG00000182362,218,247,204,107,255,280,164,183
ENSG00000182365,0,0,0,0,0,0,0,0
ENSG00000182366,2,2,7,0,3,5,1,4
ENSG00000182368,9,11,11,3,12,8,6,10
ENSG00000182372,483,336,524,256,588,570,591,483
ENSG00000182376,2,1,1,0,0,1,0,1
ENSG00000182378,195,190,127,65,185,170,159,143
ENSG00000182379,30,14,41,6,21,18,29,10
ENSG00000182383,2,1,0,0,1,2,1,1
ENSG00000182389,32,18,105,38,62,53,61,36
ENSG00000182393,0,0,0,0,0,0,0,0
ENSG00000182397,42,17,69,18,37,26,63,43
ENSG00000182400,497,448,672,448,538,649,533,578
ENSG00000182404,0,1,0,1,0,0,1,0
ENSG00000182405,40,32,46,32,42,54,50,29
ENSG00000182415,0,0,0,0,0,0,0,0
ENSG00000182446,1811,1993,2175,1528,2209,2946,1685,1981
ENSG00000182447,0,0,0,0,0,0,0,0
ENSG00000182450,0,1,0,0,0,0,1,0
ENSG00000182459,0,0,2,0,0,1,0,1
ENSG00000182463,92,63,11,8,5,1,52,46
ENSG00000182472,3,4,7,4,5,4,3,3
ENSG00000182473,1895,1219,2494,921,2699,2656,1825,1532
ENSG00000182477,0,1,0,0,0,0,0,1
ENSG00000182481,1245,1314,1764,707,1561,1382,1096,913
ENSG00000182484,133,135,170,67,118,175,59,83
ENSG00000182487,1,4,0,1,2,1,0,1
ENSG00000182489,1,1,3,2,1,1,4,0
ENSG00000182492,8865,4923,9950,4956,13607,12244,11092,8737
ENSG00000182500,211,166,264,110,273,360,231,172
ENSG00000182502,44,51,57,21,38,87,30,58
ENSG00000182504,196,158,240,128,240,257,182,164
ENSG00000182508,10,1,3,1,1,3,6,0
ENSG00000182511,336,233,184,90,262,270,343,291
ENSG00000182512,423,414,421,247,457,547,354,353
ENSG00000182518,132,93,125,61,121,174,116,102
ENSG00000182521,0,0,0,1,1,0,0,1
ENSG00000182531,0,0,0,0,0,0,0,0
ENSG00000182533,0,1,0,0,0,0,0,0
ENSG00000182534,6066,5764,7543,4632,8129,12092,5679,6461
ENSG00000182541,530,392,649,411,615,711,462,657
ENSG00000182544,700,683,712,482,594,834,632,675
